Run,TestName,query,expres,dril
yes,1_CaptionItemByCONTENT_AND_CAPTION_START_TIME_AND_CAPTION_END_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'abcda';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::EXACT_MATCH;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;
$searchOperator->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->range->greaterThanOrEqual = 1900;
$searchOperator->searchItems[1]->range->lessThanOrEqual = 2100;
$searchOperator->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::START_TIME;
$searchOperator->searchItems[2] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[2]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[2]->range = new KalturaESearchRange();
$searchOperator->searchItems[2]->range->greaterThanOrEqual = 3900;
$searchOperator->searchItems[2]->range->lessThanOrEqual = 4100;
$searchOperator->searchItems[2]->fieldName = KalturaESearchCaptionFieldName::END_TIME;",1_eodlbya6,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=1_bgew3o4x
yes,2_CaptionItemByCONTENT_OR_CAPTION_START_TIME_AND_CAPTION_END_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::OR_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'abcda';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::EXACT_MATCH;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;
$searchOperator->searchItems[1] = new KalturaESearchEntryOperator();
$searchOperator->searchItems[1]->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems[1]->searchItems = array();
$searchOperator->searchItems[1]->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->searchItems[0]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->searchItems[0]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->searchItems[0]->range->greaterThanOrEqual = 1900;
$searchOperator->searchItems[1]->searchItems[0]->range->lessThanOrEqual = 2100;
$searchOperator->searchItems[1]->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::START_TIME;
$searchOperator->searchItems[1]->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->searchItems[1]->range->greaterThanOrEqual = 3900;
$searchOperator->searchItems[1]->searchItems[1]->range->lessThanOrEqual = 4100;
$searchOperator->searchItems[1]->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::END_TIME;",1_eodlbya6;1_5ug823pe,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=1_bgew3o4x;line=abcda:startsAt=1000:endsAt=5000:language=English:captionAssetId=1_dsw19aci
yes,3_CaptionItemByCONTENT_OR_START_TIME_OR_CAPTION_END_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'abcda';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::EXACT_MATCH;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;
$searchOperator->searchItems[1] = new KalturaESearchEntryOperator();
$searchOperator->searchItems[1]->operator = KalturaESearchOperatorType::OR_OP;
$searchOperator->searchItems[1]->searchItems = array();
$searchOperator->searchItems[1]->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->searchItems[0]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->searchItems[0]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->searchItems[0]->range->greaterThanOrEqual = 1900;
$searchOperator->searchItems[1]->searchItems[0]->range->lessThanOrEqual = 2100;
$searchOperator->searchItems[1]->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::START_TIME;
$searchOperator->searchItems[1]->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->searchItems[1]->range->greaterThanOrEqual = 3900;
$searchOperator->searchItems[1]->searchItems[1]->range->lessThanOrEqual = 4100;
$searchOperator->searchItems[1]->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::END_TIME;",1_eodlbya6,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=1_bgew3o4x
yes,4_CaptionItemBySTART_TIME_OR_CAPTION_END_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::OR_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[0]->range = new KalturaESearchRange();
$searchOperator->searchItems[0]->range->greaterThanOrEqual = 1900;
$searchOperator->searchItems[0]->range->lessThanOrEqual = 2100;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::START_TIME;
$searchOperator->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->range->greaterThanOrEqual = 3900;
$searchOperator->searchItems[1]->range->lessThanOrEqual = 4100;
$searchOperator->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::END_TIME;",1_eodlbya6;1_t5h7ir9n;1_g16slm38,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=1_bgew3o4x;line=3abcd:startsAt=2000:endsAt=6000:language=English:captionAssetId=1_o3s8v7qq;line=ab cd4:startsAt=0:endsAt=4000:language=English:captionAssetId=1_zbzmurbg
yes,5_CaptionItemBySTART_TIME_AND_CAPTION_END_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[0]->range = new KalturaESearchRange();
$searchOperator->searchItems[0]->range->greaterThanOrEqual = 1900;
$searchOperator->searchItems[0]->range->lessThanOrEqual = 2100;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::START_TIME;
$searchOperator->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->range->greaterThanOrEqual = 3900;
$searchOperator->searchItems[1]->range->lessThanOrEqual = 4100;
$searchOperator->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::END_TIME;",1_eodlbya6,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=1_bgew3o4x
yes,6_CaptionItemByCONTENT_OR_START_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::OR_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'abcda';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::EXACT_MATCH;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;
$searchOperator->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->range->greaterThanOrEqual = 1900;
$searchOperator->searchItems[1]->range->lessThanOrEqual = 2100;
$searchOperator->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::START_TIME;",1_eodlbya6;1_5ug823pe;1_t5h7ir9n,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=1_bgew3o4x;line=abcda:startsAt=1000:endsAt=5000:language=English:captionAssetId=1_dsw19aci;line=3abcd:startsAt=2000:endsAt=6000:language=English:captionAssetId=1_o3s8v7qq
yes,7_CaptionItemByCONTENT_OR_END_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::OR_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'abcda';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::EXACT_MATCH;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;
$searchOperator->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->range->greaterThanOrEqual = 3900;
$searchOperator->searchItems[1]->range->lessThanOrEqual = 4100;
$searchOperator->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::END_TIME;",1_eodlbya6;1_5ug823pe;1_g16slm38,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=1_bgew3o4x;line=abcda:startsAt=1000:endsAt=5000:language=English:captionAssetId=1_dsw19aci;line=ab cd4:startsAt=0:endsAt=4000:language=English:captionAssetId=1_zbzmurbg
yes,8_CaptionItemByCONTENT_PARTIAL,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'bcd';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::PARTIAL;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;",1_t5h7ir9n;1_eodlbya6;1_5ug823pe,line=3abcd:startsAt=2000:endsAt=6000:language=English:captionAssetId=1_o3s8v7qq;line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=1_bgew3o4x;line=abcda:startsAt=1000:endsAt=5000:language=English:captionAssetId=1_dsw19aci
yes,9_CaptionItemByCONTENT_NOT_EXACT_MATCH,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchEntryOperator();
$searchOperator->searchItems[0]->operator = KalturaESearchOperatorType::NOT_OP;
$searchOperator->searchItems[0]->searchItems = array();
$searchOperator->searchItems[0]->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchItems[0]->searchTerm = 'abcda';
$searchOperator->searchItems[0]->searchItems[0]->itemType = KalturaESearchItemType::EXACT_MATCH;
$searchOperator->searchItems[0]->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;
$searchOperator->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->itemType = KalturaESearchItemType::EXISTS;
$searchOperator->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::CONTENT;",1_t5h7ir9n;1_g16slm38;1_kx9pwlay,line=3abcd:startsAt=2000:endsAt=6000:language=English:captionAssetId=1_o3s8v7qq$line=First File- Second Caption:startsAt=1000:endsAt=2000:language=English:captionAssetId=1_o3s8v7qq$line=First File- First Caption:startsAt=0:endsAt=1000:language=English:captionAssetId=1_o3s8v7qq;line=First File- Third Caption:startsAt=10000:endsAt=14000:language=English:captionAssetId=1_zbzmurbg$line=First File- Secomd Caption:startsAt=5000:endsAt=9000:language=English:captionAssetId=1_zbzmurbg$line=ab cd4:startsAt=0:endsAt=4000:language=English:captionAssetId=1_zbzmurbg;line=First File- Third Caption:startsAt=10000:endsAt=14000:language=English:captionAssetId=1_25vf5k5r$line=First File- Secomd Caption:startsAt=5000:endsAt=9000:language=English:captionAssetId=1_25vf5k5r$line=zzzz:startsAt=0:endsAt=1000:language=English:captionAssetId=1_25vf5k5r
yes,10_CaptionItemByCONTENT_STARTS_WITH,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'abc';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::STARTS_WITH;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;",1_eodlbya6;1_5ug823pe,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=1_bgew3o4x;line=abcda:startsAt=1000:endsAt=5000:language=English:captionAssetId=1_dsw19aci
