Run,TestName,query,Entries,Caption,Metadata,CuePoints
yes,1_UnifiedSearch_the_tower_exact,the tower;exact,1_6l513es6;1_faadj5b6;1_sd7chgac,;,;,;;id=1_if9p1rvb
yes,2_UnifiedSearch_the_moon_exact,the moon;exact,1_faadj5b6;1_wwbwlg5d;1_9s14rmdy;1_ubskxsib;1_s82y3roe,;,;,;;;id=1_kg3gjsgz;id=1_wce285sv
yes,3_UnifiedSearch_Black_exact,Black;exact,1_9s14rmdy;1_s82y3roe,;,;,;id=1_wce285sv
yes,4_UnifiedSearch_towe_partial,towe;partial,1_6l513es6;1_faadj5b6;1_ofqmprvq;1_wwbwlg5d;1_9s14rmdy;1_ubskxsib;1_sd7chgac;1_8zdgr4ky,;;startsAt=120000:endsAt=151000:captionAssetId=1_sgweveht;;startsAt=120000:endsAt=151000:captionAssetId=1_nr29txvp,;,;;;;;id=1_kg3gjsgz;id=1_if9p1rvb;id=1_8xabksge$id=1_wfjdgva8
yes,5_UnifiedSearch_the_moon_partial,the moon;partial,1_6l513es6;1_faadj5b6;1_ofqmprvq;1_wwbwlg5d;1_9s14rmdy;1_8zdgr4ky;1_ubskxsib;1_s82y3roe;1_sd7chgac,startsAt=5500:endsAt=6500:captionAssetId=1_pmcapzsc;startsAt=5500:endsAt=6500:captionAssetId=1_9ny15acg;startsAt=120000:endsAt=151000:captionAssetId=1_sgweveht;startsAt=5500:endsAt=6500:captionAssetId=1_ip7xs00a;startsAt=120000:endsAt=151000:captionAssetId=1_nr29txvp,;xpath=/* local-name()='metadata' /* local-name()='Text1' ;xpath=/* local-name()='metadata' /* local-name()='Text1' ;xpath=/* local-name()='metadata' /* local-name()='List1' $xpath=/* local-name()='metadata' /* local-name()='Text1' ,;;;;;id=1_wfjdgva8;id=1_xpzz8chv$id=1_kg3gjsgz;id=1_wce285sv;id=1_g5tajncq$id=1_if9p1rvb
yes,6_UnifiedSearch_Black_partial,Black;partial,1_6l513es6;1_ofqmprvq;1_9s14rmdy;1_s82y3roe;1_wwbwlg5d,;;;;startsAt=5500:endsAt=6500:captionAssetId=1_ip7xs00a,;,;;;id=1_wce285sv
yes,7_UnifiedSearch_towell_exact,towell;exact,1_ofqmprvq;1_wwbwlg5d;1_ubskxsib,;,;,;;id=1_kg3gjsgz
yes,8_UnifiedSearch_is_exact,is;exact,1_6l513es6;1_faadj5b6;1_ofqmprvq;1_9s14rmdy;1_8zdgr4ky;1_s82y3roe;1_sd7chgac,;,;xpath=/* local-name()='metadata' /* local-name()='Text1' ,;;;;id=1_wfjdgva8;id=1_wce285sv;id=1_if9p1rvb
no,9_UnifiedSearch_is_partial,is;partial,None,;,;,
yes,10_UnifiedSearch_The_tower_start,The tower;start,1_6l513es6;1_faadj5b6;1_sd7chgac,;,;,;;id=1_if9p1rvb
