Run,TestName,query,expres,dril
yes,1_CaptionItemByCONTENT_AND_CAPTION_START_TIME_AND_CAPTION_END_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'abcda';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::EXACT_MATCH;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;
$searchOperator->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->range->greaterThanOrEqual = 1900;
$searchOperator->searchItems[1]->range->lessThanOrEqual = 2100;
$searchOperator->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::START_TIME;
$searchOperator->searchItems[2] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[2]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[2]->range = new KalturaESearchRange();
$searchOperator->searchItems[2]->range->greaterThanOrEqual = 3900;
$searchOperator->searchItems[2]->range->lessThanOrEqual = 4100;
$searchOperator->searchItems[2]->fieldName = KalturaESearchCaptionFieldName::END_TIME;",0_p578ziqx,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=0_flkkngod
yes,2_CaptionItemByCONTENT_OR_CAPTION_START_TIME_AND_CAPTION_END_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::OR_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'abcda';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::EXACT_MATCH;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;
$searchOperator->searchItems[1] = new KalturaESearchEntryOperator();
$searchOperator->searchItems[1]->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems[1]->searchItems = array();
$searchOperator->searchItems[1]->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->searchItems[0]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->searchItems[0]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->searchItems[0]->range->greaterThanOrEqual = 1900;
$searchOperator->searchItems[1]->searchItems[0]->range->lessThanOrEqual = 2100;
$searchOperator->searchItems[1]->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::START_TIME;
$searchOperator->searchItems[1]->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->searchItems[1]->range->greaterThanOrEqual = 3900;
$searchOperator->searchItems[1]->searchItems[1]->range->lessThanOrEqual = 4100;
$searchOperator->searchItems[1]->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::END_TIME;",0_p578ziqx;0_rwc1id28,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=0_flkkngod;line=abcda:startsAt=1000:endsAt=5000:language=English:captionAssetId=0_feypj1ll
yes,3_CaptionItemByCONTENT_OR_START_TIME_OR_CAPTION_END_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'abcda';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::EXACT_MATCH;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;
$searchOperator->searchItems[1] = new KalturaESearchEntryOperator();
$searchOperator->searchItems[1]->operator = KalturaESearchOperatorType::OR_OP;
$searchOperator->searchItems[1]->searchItems = array();
$searchOperator->searchItems[1]->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->searchItems[0]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->searchItems[0]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->searchItems[0]->range->greaterThanOrEqual = 1900;
$searchOperator->searchItems[1]->searchItems[0]->range->lessThanOrEqual = 2100;
$searchOperator->searchItems[1]->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::START_TIME;
$searchOperator->searchItems[1]->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->searchItems[1]->range->greaterThanOrEqual = 3900;
$searchOperator->searchItems[1]->searchItems[1]->range->lessThanOrEqual = 4100;
$searchOperator->searchItems[1]->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::END_TIME;",0_p578ziqx,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=0_flkkngod
yes,4_CaptionItemBySTART_TIME_OR_CAPTION_END_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::OR_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[0]->range = new KalturaESearchRange();
$searchOperator->searchItems[0]->range->greaterThanOrEqual = 1900;
$searchOperator->searchItems[0]->range->lessThanOrEqual = 2100;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::START_TIME;
$searchOperator->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->range->greaterThanOrEqual = 3900;
$searchOperator->searchItems[1]->range->lessThanOrEqual = 4100;
$searchOperator->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::END_TIME;",0_p578ziqx;0_uu3z3c46;0_bcecamur,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=0_flkkngod;line=3abcd:startsAt=2000:endsAt=6000:language=English:captionAssetId=0_zbbey0m2;line=ab cd4:startsAt=0:endsAt=4000:language=English:captionAssetId=0_5a3ax2r5
yes,5_CaptionItemBySTART_TIME_AND_CAPTION_END_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[0]->range = new KalturaESearchRange();
$searchOperator->searchItems[0]->range->greaterThanOrEqual = 1900;
$searchOperator->searchItems[0]->range->lessThanOrEqual = 2100;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::START_TIME;
$searchOperator->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->range->greaterThanOrEqual = 3900;
$searchOperator->searchItems[1]->range->lessThanOrEqual = 4100;
$searchOperator->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::END_TIME;",0_p578ziqx,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=0_flkkngod
yes,6_CaptionItemByCONTENT_OR_START_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::OR_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'abcda';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::EXACT_MATCH;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;
$searchOperator->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->range->greaterThanOrEqual = 1900;
$searchOperator->searchItems[1]->range->lessThanOrEqual = 2100;
$searchOperator->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::START_TIME;",0_p578ziqx;0_rwc1id28;0_uu3z3c46,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=0_flkkngod;line=abcda:startsAt=1000:endsAt=5000:language=English:captionAssetId=0_feypj1ll;line=3abcd:startsAt=2000:endsAt=6000:language=English:captionAssetId=0_zbbey0m2
yes,7_CaptionItemByCONTENT_OR_END_TIME,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::OR_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'abcda';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::EXACT_MATCH;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;
$searchOperator->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->itemType = KalturaESearchItemType::RANGE;
$searchOperator->searchItems[1]->range = new KalturaESearchRange();
$searchOperator->searchItems[1]->range->greaterThanOrEqual = 3900;
$searchOperator->searchItems[1]->range->lessThanOrEqual = 4100;
$searchOperator->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::END_TIME;",0_p578ziqx;0_rwc1id28;0_bcecamur,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=0_flkkngod;line=abcda:startsAt=1000:endsAt=5000:language=English:captionAssetId=0_feypj1ll;line=ab cd4:startsAt=0:endsAt=4000:language=English:captionAssetId=0_5a3ax2r5
yes,8_CaptionItemByCONTENT_PARTIAL,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'bcd';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::PARTIAL;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;",0_uu3z3c46;0_p578ziqx;0_rwc1id28,line=3abcd:startsAt=2000:endsAt=6000:language=English:captionAssetId=0_zbbey0m2;line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=0_flkkngod;line=abcda:startsAt=1000:endsAt=5000:language=English:captionAssetId=0_feypj1ll
yes,9_CaptionItemByCONTENT_NOT_EXACT_MATCH,"$searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchEntryOperator();
$searchOperator->searchItems[0]->operator = KalturaESearchOperatorType::NOT_OP;
$searchOperator->searchItems[0]->searchItems = array();
$searchOperator->searchItems[0]->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchItems[0]->searchTerm = 'abcda';
$searchOperator->searchItems[0]->searchItems[0]->itemType = KalturaESearchItemType::EXACT_MATCH;
$searchOperator->searchItems[0]->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;
$searchOperator->searchItems[1] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[1]->itemType = KalturaESearchItemType::EXISTS;
$searchOperator->searchItems[1]->fieldName = KalturaESearchCaptionFieldName::CONTENT;",0_uu3z3c46;0_bcecamur;0_klbp1clq,line=3abcd:startsAt=2000:endsAt=6000:language=English:captionAssetId=0_zbbey0m2$line=First File- Second Caption:startsAt=1000:endsAt=2000:language=English:captionAssetId=0_zbbey0m2$line=First File- First Caption:startsAt=0:endsAt=1000:language=English:captionAssetId=0_zbbey0m2;line=First File- Third Caption:startsAt=10000:endsAt=14000:language=English:captionAssetId=0_5a3ax2r5$line=First File- Secomd Caption:startsAt=5000:endsAt=9000:language=English:captionAssetId=0_5a3ax2r5$line=ab cd4:startsAt=0:endsAt=4000:language=English:captionAssetId=0_5a3ax2r5;line=First File- Third Caption:startsAt=10000:endsAt=14000:language=English:captionAssetId=0_4lqs1c14$line=First File- Secomd Caption:startsAt=5000:endsAt=9000:language=English:captionAssetId=0_4lqs1c14$line=zzzz:startsAt=0:endsAt=1000:language=English:captionAssetId=0_4lqs1c14
yes,10_CaptionItemByCONTENT_STARTS_WITH,"searchOperator = new KalturaESearchEntryOperator();
$searchOperator->operator = KalturaESearchOperatorType::AND_OP;
$searchOperator->searchItems = array();
$searchOperator->searchItems[0] = new KalturaESearchCaptionItem();
$searchOperator->searchItems[0]->searchTerm = 'abc';
$searchOperator->searchItems[0]->itemType = KalturaESearchItemType::STARTS_WITH;
$searchOperator->searchItems[0]->fieldName = KalturaESearchCaptionFieldName::CONTENT;",0_p578ziqx;0_rwc1id28,line=abcda:startsAt=2000:endsAt=4000:language=English:captionAssetId=0_flkkngod;line=abcda:startsAt=1000:endsAt=5000:language=English:captionAssetId=0_feypj1ll
