Run,TestName,MenuTab,SubMenuTab,navigateToTab,Preset,isCompareMode,comparePeriod,testNum
yes,Audience_Engagement_Highlights_NormalMode_Last_7_Days,AUDIENCE,ENGAGEMENT,True,1,False,1,1617
yes,Audience_Engagement_Highlights_NormalMode_Last_30_Days,AUDIENCE,ENGAGEMENT,False,2,False,1,1618
yes,Audience_Engagement_Highlights_NormalMode_Last_3_Months,AUDIENCE,ENGAGEMENT,False,3,False,1,1619
yes,Audience_Engagement_Highlights_NormalMode_Last_12_Months,AUDIENCE,ENGAGEMENT,False,4,False,1,1620
yes,Audience_Engagement_Highlights_NormalMode_CURRENT_Week,AUDIENCE,ENGAGEMENT,False,5,False,1,1621
yes,Audience_Engagement_Highlights_NormalMode_CURRENT_Month,AUDIENCE,ENGAGEMENT,False,6,False,1,1622
yes,Audience_Engagement_Highlights_NormalMode_CURRENT_Quarter,AUDIENCE,ENGAGEMENT,False,7,False,1,1623
yes,Audience_Engagement_Highlights_NormalMode_CURRENT_Year,AUDIENCE,ENGAGEMENT,False,8,False,1,1624
yes,Audience_Content_Interactions_Highlights_NormalMode_Last_7_Days,AUDIENCE,CONTENT INTERACTIONS,False,1,False,1,1625
yes,Audience_Content_Interactions_Highlights_NormalMode_Last_30_Days,AUDIENCE,CONTENT INTERACTIONS,False,2,False,1,1626
yes,Audience_Content_Interactions_Highlights_NormalMode_Last_3_Months,AUDIENCE,CONTENT INTERACTIONS,False,3,False,1,1627
yes,Audience_Content_Interactions_Highlights_NormalMode_Last_12_Months,AUDIENCE,CONTENT INTERACTIONS,False,4,False,1,1628
yes,Audience_Content_Interactions_Highlights_NormalMode_CURRENT_Week,AUDIENCE,CONTENT INTERACTIONS,False,5,False,1,1629
yes,Audience_Content_Interactions_Highlights_NormalMode_CURRENT_Month,AUDIENCE,CONTENT INTERACTIONS,False,6,False,1,1630
yes,Audience_Content_Interactions_Highlights_NormalMode_CURRENT_Quarter,AUDIENCE,CONTENT INTERACTIONS,False,7,False,1,1631
yes,Audience_Content_Interactions_Highlights_NormalMode_CURRENT_Year,AUDIENCE,CONTENT INTERACTIONS,False,8,False,1,1632
yes,Contributors_Highlights_NormalMode_Last_7_Days,CONTRIBUTORS,,False,1,False,1,1633
yes,Contributors_Highlights_NormalMode_Last_30_Days,CONTRIBUTORS,,False,2,False,1,1634
yes,Contributors_Highlights_NormalMode_Last_3_Months,CONTRIBUTORS,,False,3,False,1,1635
yes,Contributors_Highlights_NormalMode_Last_12_Months,CONTRIBUTORS,,False,4,False,1,1636
yes,Contributors_Highlights_NormalMode_CURRENT_Week,CONTRIBUTORS,,False,5,False,1,1637
yes,Contributors_Highlights_NormalMode_CURRENT_Month,CONTRIBUTORS,,False,6,False,1,1638
yes,Contributors_Highlights_NormalMode_CURRENT_Quarter,CONTRIBUTORS,,False,7,False,1,1639
yes,Contributors_Highlights_NormalMode_CURRENT_Year,CONTRIBUTORS,,False,8,False,1,1640
yes,Audience_Engagement_Highlights_CompareModeLastYear_Last_7_Days,AUDIENCE,ENGAGEMENT,False,1,True,1,1647
yes,Audience_Engagement_Highlights_CompareModeLastYear_Last_30_Days,AUDIENCE,ENGAGEMENT,False,2,True,1,1648
yes,Audience_Engagement_Highlights_CompareModeLastYear_Last_3_Months,AUDIENCE,ENGAGEMENT,False,3,True,1,1649
yes,Audience_Engagement_Highlights_CompareModeLastYear_Last_12_Months,AUDIENCE,ENGAGEMENT,False,4,True,1,1650
yes,Audience_Engagement_Highlights_CompareModeLastYear_CURRENT_Week,AUDIENCE,ENGAGEMENT,False,5,True,1,1646
yes,Audience_Engagement_Highlights_CompareModeLastYear_CURRENT_Month,AUDIENCE,ENGAGEMENT,False,6,True,1,1651
yes,Audience_Engagement_Highlights_CompareModeLastYear_CURRENT_Quarter,AUDIENCE,ENGAGEMENT,False,7,True,1,1652
yes,Audience_Engagement_Highlights_CompareModeLastYear_CURRENT_Year,AUDIENCE,ENGAGEMENT,False,8,True,1,1653
yes,Audience_Content_Interactions_Highlights_CompareModeLastYear_Last_7_Days,AUDIENCE,CONTENT INTERACTIONS,False,1,True,1,1654
yes,Audience_Content_Interactions_Highlights_CompareModeLastYear_Last_30_Days,AUDIENCE,CONTENT INTERACTIONS,False,2,True,1,1655
yes,Audience_Content_Interactions_Highlights_CompareModeLastYear_Last_3_Months,AUDIENCE,CONTENT INTERACTIONS,False,3,True,1,1656
yes,Audience_Content_Interactions_Highlights_CompareModeLastYear_Last_12_Months,AUDIENCE,CONTENT INTERACTIONS,False,4,True,1,1657
yes,Audience_Content_Interactions_Highlights_CompareModeLastYear_CURRENT_Week,AUDIENCE,CONTENT INTERACTIONS,False,5,True,1,1658
yes,Audience_Content_Interactions_Highlights_CompareModeLastYear_CURRENT_Month,AUDIENCE,CONTENT INTERACTIONS,False,6,True,1,1659
yes,Audience_Content_Interactions_Highlights_CompareModeLastYear_CURRENT_Quarter,AUDIENCE,CONTENT INTERACTIONS,False,7,True,1,1660
yes,Audience_Content_Interactions_Highlights_CompareModeLastYear_CURRENT_Year,AUDIENCE,CONTENT INTERACTIONS,False,8,True,1,1661
yes,Contributors_Highlights_CompareModeLastYear_Last_7_Days,CONTRIBUTORS,,False,1,True,1,1662
yes,Contributors_Highlights_CompareModeLastYear_Last_30_Days,CONTRIBUTORS,,False,2,True,1,1663
yes,Contributors_Highlights_CompareModeLastYear_Last_3_Months,CONTRIBUTORS,,False,3,True,1,1664
yes,Contributors_Highlights_CompareModeLastYear_Last_12_Months,CONTRIBUTORS,,False,4,True,1,1665
yes,Contributors_Highlights_CompareModeLastYear_CURRENT_Week,CONTRIBUTORS,,False,5,True,1,1666
yes,Contributors_Highlights_CompareModeLastYear_CURRENT_Month,CONTRIBUTORS,,False,6,True,1,1667
yes,Contributors_Highlights_CompareModeLastYear_CURRENT_Quarter,CONTRIBUTORS,,False,7,True,1,1668
yes,Contributors_Highlights_CompareModeLastYear_CURRENT_Year,CONTRIBUTORS,,False,8,True,1,1669
yes,Audience_Engagement_Highlights_CompareModeCustomDate_Last_7_Days,AUDIENCE,ENGAGEMENT,False,1,True,2,1854
yes,Audience_Engagement_Highlights_CompareModeCustomDate_Last_30_Days,AUDIENCE,ENGAGEMENT,False,2,True,2,1855
yes,Audience_Engagement_Highlights_CompareModeCustomDate_Last_3_Months,AUDIENCE,ENGAGEMENT,False,3,True,2,1856
yes,Audience_Engagement_Highlights_CompareModeCustomDate_Last_12_Months,AUDIENCE,ENGAGEMENT,False,4,True,2,1857
yes,Audience_Engagement_Highlights_CompareModeCustomDate_CURRENT_Week,AUDIENCE,ENGAGEMENT,False,5,True,2,1858
yes,Audience_Engagement_Highlights_CompareModeCustomDate_CURRENT_Month,AUDIENCE,ENGAGEMENT,False,6,True,2,1859
yes,Audience_Engagement_Highlights_CompareModeCustomDate_CURRENT_Quarter,AUDIENCE,ENGAGEMENT,False,7,True,2,1860
yes,Audience_Engagement_Highlights_CompareModeCustomDate_CURRENT_Year,AUDIENCE,ENGAGEMENT,False,8,True,2,1861
yes,Audience_Content_Interactions_Highlights_CompareModeCustomDate_Last_7_Days,AUDIENCE,CONTENT INTERACTIONS,False,1,True,2,1862
yes,Audience_Content_Interactions_Highlights_CompareModeCustomDate_Last_30_Days,AUDIENCE,CONTENT INTERACTIONS,False,2,True,2,1863
yes,Audience_Content_Interactions_Highlights_CompareModeCustomDate_Last_3_Months,AUDIENCE,CONTENT INTERACTIONS,False,3,True,2,1864
yes,Audience_Content_Interactions_Highlights_CompareModeCustomDate_Last_12_Months,AUDIENCE,CONTENT INTERACTIONS,False,4,True,2,1865
yes,Audience_Content_Interactions_Highlights_CompareModeCustomDate_CURRENT_Week,AUDIENCE,CONTENT INTERACTIONS,False,5,True,2,1866
yes,Audience_Content_Interactions_Highlights_CompareModeCustomDate_CURRENT_Month,AUDIENCE,CONTENT INTERACTIONS,False,6,True,2,1867
yes,Audience_Content_Interactions_Highlights_CompareModeCustomDate_CURRENT_Quarter,AUDIENCE,CONTENT INTERACTIONS,False,7,True,2,1868
yes,Audience_Content_Interactions_Highlights_CompareModeCustomDate_CURRENT_Year,AUDIENCE,CONTENT INTERACTIONS,False,8,True,2,1869
yes,Contributors_Highlights_CompareModeCustomDate_Last_7_Days,CONTRIBUTORS,,False,1,True,2,1870
yes,Contributors_Highlights_CompareModeCustomDate_Last_30_Days,CONTRIBUTORS,,False,2,True,2,1871
yes,Contributors_Highlights_CompareModeCustomDate_Last_3_Months,CONTRIBUTORS,,False,3,True,2,1872
yes,Contributors_Highlights_CompareModeCustomDate_Last_12_Months,CONTRIBUTORS,,False,4,True,2,1873
yes,Contributors_Highlights_CompareModeCustomDate_CURRENT_Week,CONTRIBUTORS,,False,5,True,2,1874
yes,Contributors_Highlights_CompareModeCustomDate_CURRENT_Month,CONTRIBUTORS,,False,6,True,2,1875
yes,Contributors_Highlights_CompareModeCustomDate_CURRENT_Quarter,CONTRIBUTORS,,False,7,True,2,1876
yes,Contributors_Highlights_CompareModeCustomDate_CURRENT_Year,CONTRIBUTORS,,False,8,True,2,1877
yes,Audience_Engagement_Highlights_NormalMode_SpecificDateRange,AUDIENCE,ENGAGEMENT,False,9,False,1,1734
yes,Audience_Content_Interactions_Highlights_NormalMode_SpecificDateRange,AUDIENCE,CONTENT INTERACTIONS,False,9,False,1,1878
yes,Contributors_Highlights_NormalMode_SpecificDateRange,CONTRIBUTORS,,False,9,False,1,1879
yes,Audience_Engagement_Highlights_CompareModeLastYear_SpecificDateRange,AUDIENCE,ENGAGEMENT,False,9,True,1,1881
yes,Audience_Content_Interactions_Highlights_CompareModeLastYear_SpecificDateRange,AUDIENCE,CONTENT INTERACTIONS,False,9,True,1,1882
yes,Contributors_Highlights_CompareModeLastYear_SpecificDateRange,CONTRIBUTORS,,False,9,True,1,1880
yes,Audience_Engagement_Highlights_CompareModeCustomDate_SpecificDateRange,AUDIENCE,ENGAGEMENT,False,9,True,2,1884
yes,Audience_Content_Interactions_Highlights_CompareModeCustomDate_SpecificDateRange,AUDIENCE,CONTENT INTERACTIONS,False,9,True,2,1885
yes,Contributors_Highlights_CompareModeCustomDate_SpecificDateRange,CONTRIBUTORS,,False,9,True,2,1883
